,name,time_start,lon,lat,level,type,province
229,Lũ ống tại Cao Bằng,2022-07-05,105.494227,22.827303,0,Lũ,Cao Bang
230,"Mưa kèm dông, lốc tại An Giang",2022-05-10,105.399051,10.478614,0,"Dông lốc, sét, mưa đá",An Giang
231,Động đất tại Kon Tum,2022-05-10,108.168,14.899,0,Động đất,Kon Tum
232,Sạt lở đất tại Cà Mau,2022-06-30,105.171054,8.785962,0,Sạt lở đất,Ca Mau
233,Dông sét tại Thái Bình,2022-05-12,106.459967,20.558303,0,Sét,Thai Binh
234,Mưa lớn tại Điện Biên,2022-05-19,103.366438,21.965087,0,Mưa lớn,Đien Bien
235,Sạt lở đất tại Cà Mau,2022-05-18,105.292567,8.861632,0,Sạt lở đất,Ca Mau
236,Động đất tại Kon Tum,2022-05-10,108.244,14.908,0,Động đất,Kon Tum
237,Mưa lớn tại Nghệ An,2022-06-30,104.674495,19.145743,0,Mưa lớn,Nghe An
238,Động đất tại Kon Tum,2022-05-11,108.197,14.889,0,Động đất,Kon Tum
240,Mưa lớn taị Lâm Đồng,2022-05-18,108.375291,11.801079,0,Mưa lớn,Lam Đong
241,Sạt lở đất tại Cà Mau,2022-05-19,104.990111,8.760102,0,Sạt lở đất,Ca Mau
242,Sạt lở đất tại An Giang,2022-05-18,105.081496,10.898282,0,Sạt lở đất,An Giang
243,Sét đánh tại Bắc Kạn,2022-07-01,105.646432,22.20136,0,Sét,Bac Kan
244,Sét tại Thừa Thiên Huế,2022-05-14,107.523644,16.579912,0,Sét,Thua Thien Hue
245,Động đất tại Kon Tum,2022-05-15,108.12,14.873,0,Động đất,Kon Tum
246,Mưa lớn tại Lai Châu,2022-05-20,103.35683,22.531802,0,Mưa lớn,Lai Chau
247,Động đất tại Kon Tum,2022-05-22,108.272,14.84,0,Động đất,Kon Tum
248,Động đất tại Kon Tum,2022-05-16,108.218,14.851,0,Động đất,Kon Tum
249,Mưa lớn tại Lâm Đồng,2022-05-17,108.458075,11.943594,0,Mưa lớn,Lam Đong
250,Sạt lở đất tại Cà Mau,2022-06-19,104.988716,8.842144,0,Sạt lở đất,Ca Mau
252,Sạt lở đất tại Cà Mau,2022-05-18,105.253636,8.978892,0,Sạt lở đất,Ca Mau
253,Động đất tại Kon Tum,2022-05-31,108.241,14.895,0,Động đất,Kon Tum
254,Sạt lở đất tại Cà Mau,2022-05-19,105.188132,8.762027,0,Sạt lở đất,Ca Mau
255,Sạt lở đất tại Cà Mau,2022-05-17,104.973066,8.696054,0,Sạt lở đất,Ca Mau
